course_code,course_name,number_of_units,is_offered_in_sem1,is_offered_in_sem1
BMA5538,Distribution Management: Channels and Platforms,4,True,False
BMA5539,Social Purpose Marketing,4,True,False
BMA5701,Independent Study Module,4,True,False
BMA5801,Launch Your Transformation,4,True,True
BMA5804,Solutions Delivery,2,True,False
BMA5805,Structured Thinking and Issue-Based Problem Solving,2,True,False
BMA5901,MBA Consulting Project,4,True,True
BMA5902,Entrepreneurship Practicum,4,True,True
BMA5903,MBA Internship,4,True,True
BMA5905,Entrepreneurship Practicum in Healthcare Innovation,4,True,False
BMC5001A,Leadership,3,False,True
BMC5002A,Corporate Strategy,3,False,True
BMC5002B,Contemporary Issues in Strategy,3,False,True
BMC5003B,Information Management,3,False,True
BMC5005A,International Business,3,False,True
BMC5007B,Financial Management,3,False,True
BMC5009B,Supply Chain Management,3,False,True
BMC5010A,Corporate Finance,3,False,True
BMC5021,"Leadership: exploration, assessment & development",4,False,True
BMC5022,Strategy,4,True,False
BMC5023,Business analytics and decision making,4,True,False
BMC5024,Asia and global economy,4,True,False
BMC5026,Marketing strategy,4,True,False
BMC5027,Accounting and information management,4,True,False
BMC5030,Governance and sustainable business,4,True,False
BMC5031,"Technology, innovation and entrepreneurship",4,True,False
BMC5034,Special topics 1: Technology and business frontiers,4,True,False
BMC5036,Corporate finance,4,False,True
BMC5038,Managing organizations and change,4,True,False
BMD5301,Introduction to Finance for FinTech Professionals,4,True,False
BMD5302,Financial Modelling for FinTech Professionals,4,False,True
BME5040,Business Analytics and Decision Making,4,False,False
BME5042,Accounting and Information Management,4,True,True
BME5043,Financial Management and Markets,4,True,False
BME5044,"Communications, Influence and Negotiations",4,True,False
BME5045,"Leadership: Exploration, Assessment & Development",4,True,False
BME5046,Managing Organisations,4,True,False
BME5048,Managing Human Capital,4,False,True
BME5050,Asia and the Global Economy,4,True,False
BME5056B,Special Topic 1B,2,True,False
BME5103,Asian Family Business,2,True,False
BME5104,Emerging Tech and the Value of Data,2,True,False
BME5201,Leading with Analytics,2,True,False
BMF5321,Financial Modelling,4,True,False
BMF5322,Introduction to Finance,2,True,False
BMF5323,Accounting for Finance Professionals,2,True,False
BMF5324,Statistics and Analytics in Finance,4,True,False
BMF5331,Applied Corporate Finance,4,False,True
BMF5332,Foundation of Investments,4,False,True
BMF5333,Options and Fixed Income,4,False,True
BMF5334,International Finance and Economics,4,False,True
BMF5342,Financial Technology and Analytics,4,True,False
BMF5343,Banks and Non-Traditional Financial Intermediaries,4,True,False
BMF5344,Financial Statement Analysis and Value Investing,4,True,False
BMF5346,Venture Capital and Private Equity,4,True,False
BMF5351,Household Finance,4,True,False
BMF5353,Applied Investment Strategies,4,True,False
BMF5354,Financial Regulation in a Digital Age,4,True,False
BMF5355,Financial Systems and Technologies,4,True,False
BMF5356,Applied Financial Risk Management,4,True,False
BMF5357,Sustainable Investment,4,True,False
BMF5358,Fintech Venture Creation,4,True,False
BMF5359,Valuation and Mergers & Acquisitions,4,True,False
BMF5360,Applied Machine Learning in Investments,4,True,False
BMF5361,Essential Market Tools in Finance,2,True,False
BMF5362,Sustainability Risk Management,4,True,False
BMF5391A,Experiential Learning: Individual Internship,2,True,True
BMF5391B,Experiential Learning: Applied Team Project,2,True,False
BMF5391C,Experiential Learning: Applied Faculty Project,2,True,False
BMF5393A,Experiential Learning: Advanced Individual Internship,2,True,True
BMG5101,Foundational Corporate Finance,4,True,False
BMG5102,Foundational Investments,4,True,False
BMG5104,Economics of Sustainability,4,True,False
BMG5201,Impact Assessment and Impact Investing,4,False,True
BMG5202,Sustainable and Green Investment,4,False,True
BMG5203,Sustainability Risk Management,4,False,True
BMG5204,Sustainable Household Finance,4,True,False
BMH5101,Quantitative Methods for HR,4,False,True
BMH5102,Talent Assessment & Selection,4,True,False
BMH5103,People Analytics,4,False,True
BMH5104,Artificial Intelligence for HR,4,True,False
BMH5105,Communication for HR Professionals,2,False,True
BMH5106,HR Technology,2,False,True
BMH5107,Leading and Managing Difficult Employees,2,True,False
BMH5108,Labour and Employment Law,2,True,False
BMH5109,Talent Management,4,False,True
BMH5110,Compensation and Performance Management,4,True,False
BMH5111,HR as Strategic Partner for Growth & Transformation,2,True,False
BMH5112,Negotiation & Dispute Resolution,4,False,True
BMH5113,Ethics in Human Resources,2,True,False
BMI5101,Advanced Biomedical Informatics,4,True,False
BMI5102,Health Sciences for Non-Clinicians,4,True,False
BMI5106,Clinical Decision Support Systems,4,False,True
BMI5107,Advanced Evidence Based Patient Care,4,False,True
BMI5108,Advanced Value Based Healthcare,4,True,True
BMI5109,Advanced Scientific Research Methods,4,False,True
BMI5110,Molecular Informatics,4,False,True
BMI5111,Capstone Project,4,True,True
BMI5201,Advanced Clinical Data Systems,4,False,True
BMI5206,Advanced Human Factors Engineering,4,False,True
BMI5207,Medical Data and Data Processing,4,True,False
BMI5306,Advanced Agile Project Management,4,True,False
BMK5100,Marketing Analytics,4,True,False
BMK5101,Digital Marketing,4,True,False
BMK5102,Big Data in Marketing,4,True,False
BMK5103,Consumer Insights,4,False,True
BMK5104,Marketing Analytics Visualisation and Communications,4,False,True
BMK5200,Pricing Analytics,4,False,True
BMK5201,Customer Relationship Management,4,False,True
BMK5202,Python Programming for Business Analytics,4,True,False
BMK5203,Research for Marketing Insights,4,True,False
BMK5204,Marketing Strategy,4,True,False
BMK5206A,Personal Selling & Sales Management,4,False,True
BMK5207,AI in Marketing,4,False,True
BMK5209,Product and Brand Management,4,True,False
BMK5300A,Experiential Learning: Industry Internship,4,True,False
BMK5300D,Marketing Venture Challenge,4,True,False
BMK6111U,Analytical Methods in Marketing,2,True,False
BMO6010A,Organizational Behavior Seminar: Leadership,2,True,False
BMO6011A,"Organizational Behavior Seminar: Work, employee and organizational well-being",2,True,False
BMO6023A,Seminar in Occupational Health and Stress,2,False,True
BMO6028,Seminar in Positive Psychology,2,False,True
BMP5100,Economic Analysis for Strategic Decisions,4,True,False
BMP5101,Innovation Strategy,4,True,False
BMP5102,Executing Strategy for Results,4,True,False
BMP5103,Strategic Sustainability,4,True,False
BMP5104,Managing Innovation for Stakeholder Value,4,True,False
BMS5107,Ethical Leadership and Corporate Strategy,4,True,False
BMS5108,Macroeconomics and Finance: Perspectives from Asia,4,False,True
BMS5110,Managerial Economics,4,True,False
BMS5112,Global Strategic Management,4,True,False
BMS5113,Venture Capital,4,False,True
BMS5114,Asian Business Environment,4,False,True
BMS5117,Game Theory For Managers,4,True,False
BMS5118,Competing Globally,4,True,False
BMS5120,Innovation and Strategies for Emerging Markets,4,False,True
BMS5121,Digital Transformation,4,False,True
BMS5121S,Digital Transformation & Strategy,4,False,True
BMS5122,Legal Fundamentals for Entrepreneurs and Managers,4,False,True
BMS5123S,Entrepreneurship Business Development,4,True,True
BMS5124,Entrepreneurial Management,4,False,True
BMS5124S,Entrepreneurial Management,4,False,True
BMS5125,Sustainability Strategy,4,False,True
BMS5128,Entrepreneurship Green Venture Business Funding,4,False,True
BMS5129,Applied Sustainability: A Systems Perspective,4,True,False
BMS5202,Global Supply Chain Management,4,False,True
BMS5209,Supply Chain Models and Strategies,4,True,False
BMS5304,Selected Topics in Finance: Private Equity,4,False,True
BMS5307,Financial Markets and Institutions,4,True,False
BMS5311,Corporate Finance,4,False,True
BMS5312,Fintech Management,4,False,True
BMS5313,Empowering and Financing Positive Impact Creation,4,True,False
BMS5405S,New Venture Creation,4,True,False
BMS5410,Negotiation and Conflict Management,4,True,False
BMS5412,Global Leadership,4,False,True
BMS5413,Negotiations & Influence,4,False,True
BMS5414,Human Resources Analytics,4,True,False
BMS5415,Org 2.0: People Analytics for Organizations,4,False,True
BMS5416,Managing Across Cultures,4,False,True
BMS5418,Corporate Entrepreneurship,4,True,False
BMS5504,Marketing Analytics Visualisation and Communication,4,True,False
BMS5505,Digital Marketing,4,True,False
BMS5506,Understanding & Influencing Consumers,4,False,True
BMS5508,Design Thinking & Business Innovations,4,True,False
BMS5513,Product & Brand Management,4,False,True
BMS5515,Personal Selling and Sales Management,4,True,False
BMS5516,Customer Centricity and Brand Alignment,4,False,True
BMS5519,Services Marketing,4,False,True
BMS5520,Research for Marketing Insights,4,True,False
BMS5602,Business Analysis and Valuation,4,False,True
BMS5802,Real Estate Finance,4,False,True
BMS5900,Block Seminar (with emphasis on Asian context),2,True,False
BMS5900A,Sustainability Thinking in Product and Service Design,2,True,False
BMS5901,Business Project,10,False,True
BMT5100,Preparing Financial Statements,4,True,False
BMT5101,Applied Data Science & Vizualization,4,True,False
BMT5102,Corporate Valuation Models,4,True,False
BMT5103,Managerial Planning and Control,4,True,False
BMT5104,Corporate Accounting and Reporting,4,False,True
BMT5200,Analytics and Data Management,4,False,True
BMT5201,Financial Statement Analysis,4,False,True
BMT5202,Bank Compliance and Risk Management,4,False,True
BMT5203,Mergers and Acquisitions,4,False,True
BMT5301A,Experiential Learning: Individual Internship,4,True,False
BMU5003,Economic Analysis For Managers,4,True,True
BMU5006,Marketing Strategy,4,True,False
BMU5007,Corporate Finance,4,False,True
BMU5008,"Corporate Governance, Sustainability and Ethics",4,False,True
BMU5014,Contemporary Issues in Business,4,False,True
BMU5015,Competitive Strategy & Business Policy,4,True,True
BMU5017,Management Practicum,4,False,True
BN1111,Biomedical Engineering Principles and Practice I,4,True,False
BN2001,Independent Study,4,True,True
BN2102,Bioengineering Data Analysis,4,False,True
BN2111,Biomedical Engineering Principles and Practice II,4,False,True
BN2201,Quantitative Physiology for Bioengineers,4,True,True
BN2204,Fundamentals of Biomechanics,4,False,True
BN2301,Biochemistry and Biomaterials for Bioengineers,4,True,False
BN2403,Fundamentals of Biosignals and Bioinstrumentation,4,True,False
BN3101,Biomedical Engineering Design,6,True,False
BN3101A,Biomedical Engineering Design,4,True,True
BN3202,Musculoskeletal Biomechanics,4,False,True
BN3301,Introduction To Biomaterials,4,False,True
BN3402,Bio-Analytics for Engineers,4,False,True
BN4101,B.Eng. Dissertation,8,True,True
BN4102,Gerontechnology in Ageing,4,False,True
BN4103,Assistive Technology for Persons with Disability,4,True,False
BN4109,Special Topic In Bioengineering,4,False,True
BN4202,Biofluids Dynamics,4,False,True
BN4203,Robotics in Rehabilitation,4,False,True
BN4301,Principles Of Tissue Engineering,4,True,False
BN4302,Organs in a Dish: Organoid Bioengineering,4,False,True
BN4304,Engineering Strategies for Gene and Cell Manufacturing,4,True,False
BN4403,Cellular Bioengineering,4,True,False
BN4404,Bioelectromechanical Systems - Biomems,4,False,True
BN4406,Biophotonics And Bioimaging,4,False,True
BN4501,Engineering Biology,4,True,False
BN4701,Serious Games for Health,4,True,False
BN5001,Independent Research Project,4,True,False
BN5101,Biomedical Engineering Systems,4,True,False
