course_code,prerequisite_str
CN5172,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CN2116:D, CN2105:D AND COURSES (1) CN2122A:D, CN2106:D)"
CN5173,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CN3132:D, CN3103:D)"
CP2106,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010S:D, CS1010J:D, CS1010X:D, CS1010E:D, CS1101S:D, CS1010XCP:D, CS1010A:D)"
CP3107,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D OR (COURSES (1) CS2030:D, CS2113T:D, CS2113:D AND COURSES (1) CS2040:D, CS2040C:D, CS2040S:D))"
CP3880,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) IS2101:D, CS2101:D, ES1601:D, ES2002:D, ES2007D:D, ES2531:D, ES2631:D, UTW1001%:D, UWC2101%:D, NTW2017:D, NTW2028:D, NTW2029:D, NTW2030:D, NTW2031:D, NTW2032:D, NTW2033:D, NTW2034:D AND COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D, IS3106:D, BT3103:D)"
CS2030,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D, CS1101S:D, CS1010S:D, CS1010J:D)"
CS2030S,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D, CS1101S:D, CS1010S:D, CS1010J:D)"
CS2040,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D, CS1101S:D, CS1010S:D, CS1010J:D)"
CS2040C,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D, CS1101S:D, CS1010S:D, CS1010J:D)"
CS2040S,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D, CS1101S:D, CS1010S:D, CS1010J:D AND COURSES (1) CS1231S:D, CS1231:D, MA1100:D, MA1100T:D)"
CS2100,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) YSC1212:D, CS1010:D, CS1010J:D, CS1010E:D, CS1010S:D, CS1010X:D, CS1101S:D)"
